"","OBJECTID","post_2","Shape_Leng","Shape_Area","arsenal","astonvilla","chelsea","everton","fulham","liverpool","manchestercity","manchesterunited","newcastleunited","norwichcity","queensparkrangers","random","reading","southampton","stokecity","sunderland","swanseacity","tottenhamhotspur","westbromwichalbion","westhamunited","wiganathletic","arsenal_lq","arsenal_norm","astonvilla_lq","astonvilla_norm","chelsea_lq","chelsea_norm","everton_lq","everton_norm","fulham_lq","fulham_norm","liverpool_lq","liverpool_norm","manchestercity_lq","manchestercity_norm","manchesterunited_lq","manchesterunited_norm","newcastleunited_lq","newcastleunited_norm","norwichcity_lq","norwichcity_norm","queensparkrangers_lq","queensparkrangers_norm","random_lq","random_norm","reading_lq","reading_norm","southampton_lq","southampton_norm","stokecity_lq","stokecity_norm","sunderland_lq","sunderland_norm","swanseacity_lq","swanseacity_norm","tottenhamhotspur_lq","tottenhamhotspur_norm","westbromwichalbion_lq","westbromwichalbion_norm","westhamunited_lq","westhamunited_norm","wiganathletic_lq","wiganathletic_norm"
"70",71,"HU",2.66308809562,0.128659120531,31,6,22,56,4,60,76,72,24,5,24,418,2,7,4,9,2,23,16,28,4,0.939305740488744,0.000185406698564593,0.381218859890602,3.58851674641148e-05,0.781911434624824,0.000131578947368421,0.994169404471489,0.000334928229665072,0.901880606584845,2.39234449760766e-05,1.1497596859492,0.000358851674641148,1.31762065095398,0.000454545454545455,1.42677511961722,0.000430622009569378,1.43586895634072,0.000143540669856459,0.633334126250544,2.99043062200957e-05,0.972359236449722,0.000143540669856459,1,0.0025,0.914599435652067,1.19617224880383e-05,1.16132858573495,4.1866028708134e-05,0.617117266270426,2.39234449760766e-05,1.22341616583032,5.38277511961722e-05,0.462038575005578,1.19617224880383e-05,0.562762857579849,0.00013755980861244,0.780511553401108,9.56937799043062e-05,0.649546425424075,0.000167464114832536,1.11991767630865,2.39234449760766e-05
"71",72,"HX",1.09467516772,0.0357765709875,12,2,10,44,1,25,22,29,5,2,10,186,0,2,0,1,1,11,10,13,2,0.817127574452227,0.000161290322580645,0.285572550957476,2.68817204301075e-05,0.798726734294175,0.000134408602150538,1.75544966273422,0.000591397849462366,0.506701738645787,1.34408602150538e-05,1.07661189230906,0.000336021505376344,0.857161821319527,0.000295698924731183,1.29147013142174,0.000389784946236559,0.672259435204323,6.72043010752688e-05,0.569319709188661,2.68817204301075e-05,0.910497672123619,0.000134408602150538,1,0.0025,0,0,0.745676419104776,2.68817204301075e-05,0,0,0.305488624442696,1.34408602150538e-05,0.519172377291214,1.34408602150538e-05,0.604858255996294,0.000147849462365591,1.09628302863462,0.000134408602150538,0.677733347879113,0.000174731182795699,1.25840212015327,2.68817204301075e-05
"72",73,"IG",0.776177580548,0.012072236108,43,4,21,38,5,21,40,36,4,2,22,268,1,0,2,1,2,69,16,87,0,2.0321474939269,0.000401119402985075,0.396391749836496,3.73134328358209e-05,1.16411441199741,0.00019589552238806,1.05219794913547,0.000354477611940299,1.75833066022605,4.66417910447761e-05,0.627648664381969,0.00019589552238806,1.08162889257417,0.000373134328358209,1.11267164179104,0.000335820895522388,0.373254492382102,3.73134328358209e-05,0.395124872795115,1.86567164179104e-05,1.39020763967532,0.000205223880597015,1,0.0025,0.713251052430157,9.32835820895522e-06,0,0,0.481259360636265,1.86567164179104e-05,0.212018224426647,9.32835820895522e-06,0.720642255046014,1.86567164179104e-05,2.63322620673556,0.000643656716417911,1.21736503478232,0.000149253731343284,3.147841858605,0.000811567164179104,0,0
"73",74,"IP",7.76700745298,0.498836875473,50,23,33,58,2,39,78,45,11,53,26,557,1,6,4,3,4,47,21,44,1,1.13693693034197,0.000224416517055655,1.09666011938607,0.000103231597845601,0.880176785475341,0.000148114901256732,0.772718743331841,0.00026032315978456,0.338407624373847,8.97666068222621e-06,0.560843279483657,0.000175044883303411,1.01482811357138,0.000350089766606822,0.669201077199282,0.00020197486535009,0.493875333726407,4.93716337522442e-05,5.03801947323323,0.000237881508078995,0.790514675473936,0.000116696588868941,1,0.0025,0.343180039589375,4.48833034111311e-06,0.747015155943384,2.69299820466786e-05,0.463114932317842,1.79533213644524e-05,0.306037077987476,1.34649910233393e-05,0.69347261885936,1.79533213644524e-05,0.863011404263033,0.000210951526032316,0.768775854550597,9.42549371633752e-05,0.765994989510104,0.000197486535008977,0.210110228320026,4.48833034111311e-06
"74",75,"IV",37.5341817729,2.41892347442,7,4,9,22,0,18,43,21,7,3,10,344,0,1,0,2,0,11,7,15,0,0.257727737872287,5.08720930232558e-05,0.308816828360991,2.90697674418605e-05,0.388682718955945,6.54069767441861e-05,0.474583775099658,0.000159883720930233,0,0,0.419127513424504,0.000130813953488372,0.905864197530864,0.0003125,0.505661821705426,0.000152616279069767,0.508884758509319,5.08720930232558e-05,0.461744764138478,2.18023255813953e-05,0.492303973880794,7.26744186046512e-05,1,0.0025,0,0,0.201592752839373,7.26744186046512e-06,0,0,0.330353977595009,1.45348837209302e-05,0,0,0.327045452370089,7.99418604651163e-05,0.414930378861127,5.08720930232558e-05,0.422825590470198,0.000109011627906977,0,0
"75",76,"KA",6.44726815776,0.469834422416,17,7,24,62,1,27,79,26,6,3,11,544,0,1,3,2,2,27,19,33,2,0.395796168875297,7.8125e-05,0.341742151973009,3.21691176470588e-05,0.655425761376691,0.000110294117647059,0.845748893325995,0.000284926470588235,0.17324728563992,4.59558823529412e-06,0.397554773762949,0.000124080882352941,1.0524010530138,0.000363051470588235,0.395889297385621,0.000119485294117647,0.275824091797068,2.75735294117647e-05,0.291985659675802,1.37867647058824e-05,0.342440852420023,5.05514705882353e-05,1,0.0025,0,0,0.127477770177839,4.59558823529412e-06,0.355636512823122,1.37867647058824e-05,0.20890030936155,9.19117647058823e-06,0.355022287412374,9.19117647058823e-06,0.507620013638601,0.000124080882352941,0.712180923381387,8.73161764705882e-05,0.588225012624717,0.000151654411764706,0.430262489611229,9.19117647058823e-06
"76",77,"KT",1.62914708412,0.044834733537,55,9,102,49,23,49,71,53,13,6,42,548,6,4,4,2,1,66,19,51,3,1.27117017740971,0.000250912408759124,0.436175593341984,4.10583941605839e-05,2.76522693485932,0.000465328467153285,0.663535510374903,0.000223540145985401,3.95560225899028,0.00010492700729927,0.716221955219327,0.000223540145985401,0.938924934667027,0.000323905109489051,0.801114557988646,0.000241788321167883,0.593256684059873,5.93065693430657e-05,0.579708754976775,2.73722627737226e-05,1.29795763040688,0.000191605839416058,1,0.0025,2.09289724873666,2.73722627737226e-05,0.506189102020031,1.82481751824818e-05,0.470720834490945,1.82481751824818e-05,0.207375489585188,9.12408759124088e-06,0.17621544192731,4.56204379562044e-06,1.23179163082457,0.000301094890510949,0.706982522480794,8.66788321167883e-05,0.902439435426905,0.000232664233576642,0.640682831245918,1.36861313868613e-05
"77",78,"KW",17.9757778004,0.693456266085,1,0,1,2,0,6,3,3,0,0,2,43,0,0,0,0,0,0,0,0,0,0.294545986139756,5.81395348837209e-05,0,0,0.345495750183062,5.81395348837209e-05,0.345151836436115,0.000116279069767442,0,0,1.11767336913201,0.000348837209302326,0.505598621877692,0.000174418604651163,0.577899224806202,0.000174418604651163,0,0,0,0,0.787686358209271,0.000116279069767442,1,0.0025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78",79,"KY",3.73732910579,0.21097675816,19,8,20,44,2,34,55,27,11,1,22,552,0,1,2,3,3,24,12,23,0,0.435949403398878,8.60507246376812e-05,0.384902133899206,3.6231884057971e-05,0.53827236441564,9.05797101449275e-05,0.591510212443052,0.000199275362318841,0.341472910826508,9.05797101449275e-06,0.493369101953804,0.000153985507246377,0.722065664698515,0.000249094202898551,0.405157608695652,0.000122282608695652,0.498348842184074,4.98188405797101e-05,0.0959179944828722,4.52898550724638e-06,0.67495588303077,9.96376811594203e-05,1,0.0025,0,0,0.125630266262218,4.52898550724638e-06,0.233654906975578,9.05797101449275e-06,0.308809152969247,1.35869565217391e-05,0.524815555305249,1.35869565217391e-05,0.444678401641544,0.000108695652173913,0.443279659404433,5.43478260869565e-05,0.404033342004856,0.000104166666666667,0,0
"79",80,"L1",0.77223672781,0.0080261843325,39,19,41,400,4,429,79,77,26,10,56,643,3,8,12,14,6,52,52,67,9,0.768201584380048,0.000151632970451011,0.784769358540995,7.38724727838258e-05,0.947292391248426,0.000159409020217729,4.6163387143866,0.0015552099533437,0.586292524964954,1.5552099533437e-05,5.34414739252934,0.00166796267496112,0.890367298350709,0.000307153965785381,0.991925522723345,0.000299377916018663,1.0112120151316,0.000101088646967341,0.8234328608794,3.88802488335925e-05,1.47492126793773,0.000217729393468118,1,0.0025,0.891841129321689,1.16640746500778e-05,0.862804441390285,3.1104199066874e-05,1.20352263126456,4.6656298600311e-05,1.23715766415051,5.44323483670295e-05,0.901083006309479,2.33281493001555e-05,0.827115658418798,0.000202177293934681,1.64902790870203,0.000202177293934681,1.01039753334962,0.00026049766718507,1.63807554365208,3.49922239502333e-05
"80",81,"L2",1.16755184013,0.010449365739,12,7,15,183,3,142,35,23,4,2,25,235,0,2,4,3,2,6,10,23,4,0.646747782332401,0.000127659574468085,0.791096726269433,7.4468085106383e-05,0.948275569651383,0.000159574468085106,5.77872298067189,0.0019468085106383,1.20314710708234,3.19148936170213e-05,4.84008056164543,0.00151063829787234,1.07932755450486,0.000372340425531915,0.810698345153664,0.00024468085106383,0.425668953014482,4.25531914893617e-05,0.450610493230174,2.12765957446809e-05,1.80162305335099,0.000265957446808511,1,0.0025,0,0,0.590194952993568,2.12765957446809e-05,1.09768092468527,4.25531914893617e-05,0.725372989102231,3.19148936170213e-05,0.821838827031198,2.12765957446809e-05,0.261130295432056,6.38297872340425e-05,0.867696354578891,0.000106382978723404,0.949048531007151,0.00024468085106383,1.99202378168944,4.25531914893617e-05
"81",82,"L3",1.72690160958,0.0331612888495,11,10,16,219,0,230,59,30,8,5,34,392,0,1,9,4,0,24,22,33,5,0.355408804704349,7.01530612244898e-05,0.677506307118501,6.37755102040816e-05,0.60638029623966,0.000102040816326531,4.14578423943736,0.00139668367346939,0,0,4.69974048499812,0.00146683673469388,1.09073444192492,0.000376275510204082,0.633920068027211,0.000191326530612245,0.510368387542874,5.10204081632653e-05,0.67534098156308,3.18877551020408e-05,1.46887430574229,0.000216836734693878,1,0.0025,0,0,0.176907925961082,6.37755102040816e-06,1.48060915542688,5.73979591836735e-05,0.57980494026879,2.55102040816327e-05,0,0,0.626179790066665,0.000153061224489796,1.14438524315634,0.00014030612244898,0.816312262417974,0.000210459183673469,1.49274741293692,3.18877551020408e-05
"82",83,"L4",0.879122436337,0.0134629650095,24,14,10,163,1,189,25,20,2,13,7,79,1,1,2,3,8,5,8,9,13,3.84773997083833,0.000759493670886076,4.70652482717257,0.000443037974683544,1.88054648833819,0.000316455696202532,15.3111976049413,0.00515822784810127,1.19299396693818,3.16455696202532e-05,19.1631465631558,0.00598101265822785,2.29332708235662,0.000791139240506329,2.09701828410689,0.000632911392405063,0.633115214926603,6.32911392405063e-05,8.71275352416571,0.000411392405063291,1.50059236595564,0.000221518987341772,1,0.0025,2.4196364816618,3.16455696202532e-05,0.877821607300559,3.16455696202532e-05,1.63262669177872,6.32911392405063e-05,2.15775509416487,9.49367088607595e-05,9.77884173935856,0.000253164556962025,0.647316660617438,0.000158227848101266,2.06489765393458,0.000253164556962025,1.10469875788669,0.000284810126582278,19.2583311805735,0.000411392405063291
"83",84,"L5",0.149973439346,0.0004690795235,0,1,1,25,0,34,5,0,0,0,1,18,0,0,0,0,1,0,3,2,0,0,0,1.47545817994696,0.000138888888888889,0.825350958770648,0.000138888888888889,10.3066173380229,0.00347222222222222,0,0,15.12998579325,0.00472222222222222,2.01303155006859,0.000694444444444444,0,0,0,0,0,0,0.94084759452774,0.000138888888888889,1,0.0025,0,0,0,0,0,0,0,0,5.36478123200921,0.000138888888888889,0,0,3.39847738876732,0.000416666666666667,1.07742224534628,0.000277777777777778,0,0
"84",85,"L6",0.124875367997,0.0004871843205,1,1,1,28,0,21,3,4,1,0,1,21,0,0,1,0,0,1,4,4,1,0.603117971619501,0.000119047619047619,1.26467843995454,0.000119047619047619,0.70744367894627,0.000119047619047619,9.89435264450196,0.00333333333333333,0,0,8.00999247877941,0.0025,1.0352733686067,0.000357142857142857,1.57775661375661,0.000476190476190476,1.19085957093337,0.000119047619047619,0,0,0.806440795309491,0.000119047619047619,1,0.0025,0,0,0,0,3.0708930631076,0.000119047619047619,0,0,0,0,0.487028725607406,0.000119047619047619,3.88397415859123,0.000476190476190476,1.84700956345077,0.000476190476190476,5.57292367496449,0.000119047619047619
"85",86,"L7",0.152372190264,0.000476743671501,4,1,3,15,0,27,6,1,1,2,0,52,0,0,0,0,1,4,1,2,0,0.974267492616117,0.000192307692307692,0.510735523827793,4.80769230769231e-05,0.857095226415673,0.000144230769230769,2.14060513943552,0.000721153846153846,0,0,4.15903455628931,0.00129807692307692,0.836182336182336,0.000288461538461538,0.159292735042735,4.80769230769231e-05,0.480924057492323,4.80769230769231e-05,2.03641280594406,9.61538461538462e-05,0,0,1,0.0025,0,0,0,0,0,0,0,0,1.85703965723396,4.80769230769231e-05,0.786738710596579,0.000192307692307692,0.39213200639623,4.80769230769231e-05,0.372953854158329,9.61538461538462e-05,0,0
"86",87,"L8",0.172008089699,0.000620381575499,2,0,2,8,0,16,1,4,1,0,3,28,0,0,0,0,1,2,1,2,0,0.904676957429251,0.000178571428571429,0,0,1.0611655184194,0.000178571428571429,2.12021842382185,0.000714285714285714,0,0,4.57713855930252,0.00142857142857143,0.258818342151675,8.92857142857143e-05,1.18331746031746,0.000357142857142857,0.893144678200029,8.92857142857143e-05,0,0,1.81449178944636,0.000267857142857143,1,0.0025,0,0,0,0,0,0,0,0,3.44878793486306,8.92857142857143e-05,0.730543088411109,0.000178571428571429,0.728245154735855,8.92857142857143e-05,0.692628586294039,0.000178571428571429,0,0
