"","OBJECTID","post_4","Shape_Leng","Shape_Area","arsenal","astonvilla","chelsea","everton","fulham","liverpool","manchestercity","manchesterunited","newcastleunited","norwichcity","queensparkrangers","random","reading","southampton","stokecity","sunderland","swanseacity","tottenhamhotspur","westbromwichalbion","westhamunited","wiganathletic","arsenal_lq","arsenal_norm","astonvilla_lq","astonvilla_norm","chelsea_lq","chelsea_norm","everton_lq","everton_norm","fulham_lq","fulham_norm","liverpool_lq","liverpool_norm","manchestercity_lq","manchestercity_norm","manchesterunited_lq","manchesterunited_norm","newcastleunited_lq","newcastleunited_norm","norwichcity_lq","norwichcity_norm","queensparkrangers_lq","queensparkrangers_norm","random_lq","random_norm","reading_lq","reading_norm","southampton_lq","southampton_norm","stokecity_lq","stokecity_norm","sunderland_lq","sunderland_norm","swanseacity_lq","swanseacity_norm","tottenhamhotspur_lq","tottenhamhotspur_norm","westbromwichalbion_lq","westbromwichalbion_norm","westhamunited_lq","westhamunited_norm","wiganathletic_lq","wiganathletic_norm"
"2357",2358,"SR1",0.16593343938,0.000334715285501,0,0,2,5,0,3,5,2,2,1,1,15,1,1,0,39,0,1,1,1,0,0,0,0,0,1.98113834097098,0.000333333333333333,2.47321991178324,0.000833333333333333,0,0,1.60204081632653,0.0005,2.41554108768179,0.000833333333333333,1.10456935495816,0.000333333333333333,3.33445115135256,0.000333333333333333,3.53101325757576,0.000166666666666667,1.12889797154102,0.000166666666666667,1,0.0025,12.7152600170503,0.000166666666666667,4.62050805452292,0.000166666666666667,0,0,147.673267326733,0.0065,0,0,0.682078017103398,0.000166666666666667,1.35912156005103,0.000166666666666667,0.646594702388694,0.000166666666666667,0,0
"2358",2359,"SR2",0.238339775792,0.0016918790595,3,0,3,7,0,1,5,4,6,1,1,26,0,0,2,25,1,2,4,3,0,1.46166259424286,0.000288461538461538,0,0,1.71444664122488,0.000288461538461538,1.99760069797877,0.000673076923076923,0,0,0.308084772370487,0.0000961538461538462,1.3935813967395,0.000480769230769231,1.2745031018748,0.000384615384615385,5.77116545426405,0.000576923076923077,2.03712303321678,0.0000961538461538462,0.651287291273667,0.0000961538461538462,1,0.0025,0,0,0,0,4.96240351344158,0.000192307692307692,54.6128947214248,0.00240384615384615,3.71537465125548,0.0000961538461538462,0.787013096657767,0.000192307692307692,3.13643436934853,0.000384615384615385,1.11910621567274,0.000288461538461538,0,0
"2359",2360,"SR3",0.247407028342,0.0024501977785,3,0,5,15,1,6,13,10,12,0,6,69,1,0,1,46,0,3,5,8,2,0.550771412323395,0.000108695652173913,0,0,1.07670562009292,0.000181159420289855,1.61296950768472,0.000543478260869565,1.36636801700288,0.000036231884057971,0.696539485359361,0.000217391304347826,1.36530583216797,0.000471014492753623,1.20061886408495,0.00036231884057971,4.34928411045986,0.000434782608695652,0,0,1.47247561505351,0.000217391304347826,1,0.0025,2.76418696022833,0.000036231884057971,0,0,0.934945589488993,0.000036231884057971,37.8649403401879,0.00166666666666667,0,0,0.444833489415259,0.000108695652173913,1.47730604353373,0.000181159420289855,1.12451252589338,0.000289855072463768,3.39339749277638,0.000072463768115942
"2360",2361,"SR4",0.32073952779,0.002091113468,4,2,2,13,1,12,9,7,6,0,2,38,1,0,1,27,0,3,5,5,1,1.33344657720401,0.000263157894736842,1.39779202279202,0.000131578947368421,0.782028292488544,0.000131578947368421,2.53830464630385,0.000855263157894737,2.48103666245259,0.0000657894736842105,2.52953813104189,0.000789473684210526,1.71630550966864,0.000592105263157895,1.52604976671851,0.000460526315789474,3.94869215291751,0.000394736842105263,0,0,0.891235240690282,0.000131578947368421,1,0.0025,5.01918158567775,0.0000657894736842105,0,0,1.69766435986159,0.0000657894736842105,40.3560548362529,0.00177631578947368,0,0,0.807723967622445,0.000197368421052632,2.68247676325861,0.000328947368421053,1.27617375471453,0.000328947368421053,3.08084772370487,0.0000657894736842105
"2361",2362,"SR5",0.416882700989,0.002339596162,2,9,5,7,0,6,12,0,11,1,1,32,2,1,0,70,0,1,6,2,7,0.79173390521488,0.00015625,7.46945112179487,0.000703125,2.32164649332536,0.000390625,1.62305056710775,0.000546875,0,0,1.50191326530612,0.00046875,2.71748372364202,0.0009375,0,0,8.59663187458082,0.000859375,1.65516246448864,0.000078125,0.529170924159855,0.000078125,1,0.0025,11.9205562659847,0.00015625,2.16586315055762,0.000078125,0,0,124.244335491241,0.00546875,0,0,0.319724070517218,0.000078125,3.82252938764352,0.00046875,0.6061825334894,0.00015625,25.6095467032967,0.000546875
"2362",2363,"SR6",0.345962831374,0.0020524862175,4,4,4,10,0,6,5,10,12,1,1,34,0,1,2,48,0,2,4,5,0,1.49032264511036,0.000294117647058824,3.12447628624099,0.000294117647058824,1.74806324203321,0.000294117647058824,2.18225286333815,0.000735294117647059,0,0,1.41356542617047,0.000441176470588235,1.06567989162432,0.000367647058823529,2.43655004770182,0.000735294117647059,8.8264883418156,0.000882352941176471,1.55779996657754,0.0000735294117647059,0.498043222738687,0.0000735294117647059,1,0.0025,0,0,2.03845943581894,0.0000735294117647059,3.79477915733768,0.000147058823529412,80.1845795439273,0.00352941176470588,0,0,0.601833544502998,0.000147058823529412,2.39844981185476,0.000294117647058824,1.42631184350447,0.000367647058823529,0,0
"2363",2364,"SR7",0.365550652658,0.004896276589,0,2,2,5,0,3,7,5,4,1,2,23,0,0,1,17,1,1,0,3,0,0,0,2.30939551591726,0.000217391304347826,1.29204674411151,0.000217391304347826,1.61296950768472,0.000543478260869565,0,0,1.04480922803904,0.000326086956521739,2.20549403657903,0.000760869565217391,1.80092829612743,0.000543478260869565,4.34928411045986,0.000434782608695652,2.30283473320158,0.000108695652173913,1.47247561505351,0.000217391304347826,1,0.0025,0,0,0,0,2.80483676846698,0.000108695652173913,41.9806947249909,0.00184782608695652,4.19998873620185,0.000108695652173913,0.444833489415259,0.000108695652173913,0,0,1.26507659163005,0.000326086956521739,0,0
"2364",2365,"SR8",0.334541024214,0.004271975216,3,2,3,7,1,3,9,3,10,2,4,35,1,1,0,24,1,1,1,1,0,1.08580649858041,0.000214285714285714,1.51760276760277,0.000142857142857143,1.27358893348134,0.000214285714285714,1.48393194706994,0.0005,2.69369694780567,0.0000714285714285714,0.686588921282799,0.000214285714285714,1.86341741049738,0.000642857142857143,0.710080299615958,0.000214285714285714,7.14525246718406,0.000714285714285714,3.02658279220779,0.000142857142857143,1.9352536654989,0.000285714285714286,1,0.0025,5.44939715016441,0.0000714285714285714,1.98021773765268,0.0000714285714285714,0,0,38.946795778479,0.00171428571428571,2.7599925980755,0.0000714285714285714,0.292319150187171,0.0000714285714285714,0.582480668593298,0.0000714285714285714,0.27711201530944,0.0000714285714285714,0,0
"2365",2366,"SS0",0.190880676051,0.000859545159999,5,0,2,2,1,0,2,5,0,0,3,41,0,1,0,0,0,4,2,14,0,1.54484664432172,0.000304878048780488,0,0,0.724806710111333,0.000121951219512195,0.361934621236572,0.000121951219512195,2.29949739446826,0.0000609756097560976,0,0,0.353493817709531,0.000121951219512195,1.0102768490471,0.000304878048780488,0,0,0,0,1.23903435900844,0.000182926829268293,1,0.0025,0,0,1.69042977604497,0.0000609756097560976,0,0,0,0,0,0,0.998162951858631,0.00024390243902439,0.994479190281241,0.000121951219512195,3.3118265244299,0.000853658536585366,0,0
"2366",2367,"SS1",0.266246617267,0.000915074344998,4,0,2,3,0,3,4,4,0,1,4,62,0,2,0,1,0,5,1,8,0,0.817273708608909,0.000161290322580645,0,0,0.47930766313814,0.0000806451612903226,0.359015793645954,0.000120967741935484,0,0,0.387590520078999,0.000120967741935484,0.467524081486799,0.000161290322580645,0.534469042721689,0.000161290322580645,0,0,0.854277401026393,0.0000403225806451613,1.09248190794293,0.000161290322580645,1,0.0025,0,0,2.23572970380142,0.0000806451612903226,0,0,0.916087266294868,0.0000403225806451613,0,0,0.825094375528304,0.000201612903225806,0.32881973227041,0.0000403225806451613,1.2514736175265,0.00032258064516129,0,0
