post_4,arsenal,astonvilla,chelsea,everton,fulham,liverpool,manchestercity,manchesterunited,newcastleunited,norwichcity,queensparkrangers,random,reading,southampton,stokecity,sunderland,swanseacity,tottenhamhotspur,westbromwichalbion,westhamunited,wiganathletic
E2,4,0,3,3,0,5,4,3,1,1,3,66,0,2,0,0,0,9,1,8,0
E3,8,2,3,2,1,7,6,6,0,0,3,67,1,1,0,0,1,7,0,21,0
E4,9,2,2,7,0,2,5,5,1,3,6,46,0,0,1,0,0,22,2,13,0
E5,0,1,1,0,0,1,5,2,1,1,1,24,0,0,1,0,0,7,1,4,0
E6,7,2,4,5,0,8,8,5,1,2,7,26,0,1,1,0,0,13,4,45,0
E7,4,1,4,5,0,0,6,5,0,0,1,28,0,0,0,0,0,5,1,12,0
E8,4,1,2,3,0,2,1,1,0,0,2,56,0,0,0,0,0,5,0,4,0
E9,11,0,4,4,1,5,4,5,0,0,2,57,0,0,1,0,0,7,1,5,0
EC1A,1,0,0,1,0,2,1,1,0,0,1,15,0,0,0,0,0,1,1,2,0
EC1M,1,1,2,1,0,1,0,0,1,0,0,16,0,0,0,0,1,3,1,2,0
EC1N,2,0,0,0,0,0,1,0,0,0,0,14,0,0,0,0,0,4,0,0,0
EC1R,5,1,2,0,0,2,3,3,0,0,0,22,0,0,1,0,1,7,0,4,0
EC1V,3,0,2,2,0,1,0,5,1,0,0,39,0,0,1,0,0,0,1,0,0
EC1Y,2,1,0,0,0,3,1,1,0,0,2,19,0,0,0,0,0,0,1,1,0
EC2A,0,1,2,2,0,4,1,1,0,0,2,32,0,0,0,0,0,6,0,0,0
EC2M,3,0,2,0,1,2,7,1,1,1,2,26,0,0,0,0,0,8,0,10,0
EC2N,0,0,0,0,0,0,0,1,0,0,1,4,0,0,0,0,0,0,0,1,0
EC2R,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0
EC2V,1,1,1,0,0,2,1,1,0,1,1,31,0,0,0,0,0,2,1,2,0
EC2Y,0,0,0,0,0,0,1,2,0,0,0,13,0,0,0,0,0,3,0,2,0
EC3A,1,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,3,0,3,0
EC3M,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,1,3,0
