post_4,arsenal,astonvilla,chelsea,everton,fulham,liverpool,manchestercity,manchesterunited,newcastleunited,norwichcity,queensparkrangers,random,reading,southampton,stokecity,sunderland,swanseacity,tottenhamhotspur,westbromwichalbion,westhamunited,wiganathletic
KA30,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
KA4,0,0,1,3,0,1,2,2,0,0,1,11,0,0,0,0,0,0,1,0,0
KA5,2,0,0,1,0,1,4,1,0,0,0,19,0,0,0,0,0,0,0,1,0
KA6,1,0,2,7,0,0,9,1,0,1,1,35,0,0,0,0,0,2,2,4,0
KA7,0,0,2,1,0,4,5,1,0,0,0,50,0,0,0,0,0,2,3,1,0
KA8,2,0,0,3,1,1,4,0,0,0,0,33,0,0,0,0,1,1,1,1,0
KA9,0,1,2,2,0,1,2,1,0,0,0,11,0,1,0,0,0,1,0,0,0
KT1,8,1,5,6,1,1,4,1,2,0,0,43,0,1,0,0,1,6,2,1,0
KT10,3,0,3,0,1,2,1,2,1,0,2,13,0,0,0,0,0,3,0,3,0
KT11,2,1,6,2,0,1,3,1,0,0,2,9,1,0,1,0,0,1,0,2,0
KT12,4,0,14,3,1,2,8,8,2,2,1,40,0,0,1,0,0,5,1,3,0
KT13,4,0,2,0,0,2,1,1,0,1,1,17,0,0,0,0,0,2,2,1,0
KT14,0,0,1,1,1,0,2,0,0,0,2,10,0,0,0,0,0,1,0,0,0
KT15,2,1,7,3,1,2,2,2,1,1,0,21,2,0,0,0,0,5,0,1,0
KT16,4,0,3,3,0,2,2,3,0,0,3,24,0,0,0,0,0,5,0,1,0
KT17,0,0,3,1,1,1,2,0,0,0,1,20,0,0,0,0,0,1,0,1,0
KT18,1,0,2,2,0,1,2,1,0,0,0,13,0,0,0,0,0,2,0,1,0
KT19,2,2,6,3,1,8,6,3,1,1,2,50,1,0,0,0,0,5,2,4,0
KT2,3,0,3,1,0,2,6,5,0,0,2,35,0,0,1,0,0,1,0,2,0
KT20,1,0,3,0,0,3,1,1,0,0,0,17,0,0,0,0,0,2,0,0,0
KT21,0,0,1,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,1,0
KT22,2,0,1,0,0,1,3,2,1,0,4,14,0,0,0,0,0,0,1,2,0
KT23,1,1,3,2,1,1,1,0,1,0,2,5,0,0,0,1,0,0,1,1,1
KT24,2,0,6,3,0,3,4,3,0,0,3,22,0,1,0,0,0,1,0,1,0
KT3,3,0,4,2,10,0,3,3,0,0,4,29,0,0,1,0,0,4,0,1,0
KT4,4,1,6,1,1,4,3,4,2,0,2,21,0,0,0,0,0,6,3,4,0
KT5,5,1,7,10,1,6,10,5,0,0,6,68,0,2,0,1,0,5,3,12,1
KT6,1,0,5,0,0,2,1,1,2,0,1,29,0,0,0,0,0,3,2,1,0
KT7,1,1,3,1,2,0,1,1,0,0,0,6,0,0,0,0,0,2,2,1,0
KT8,2,0,3,3,0,2,4,4,0,1,1,10,1,0,0,0,0,4,0,1,0
KT9,0,0,5,2,1,3,0,2,0,0,3,27,1,0,0,0,0,2,0,6,1
KW1,1,0,1,1,0,0,1,2,0,0,1,15,0,0,0,0,0,0,0,0,0
KW10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
KW11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KW12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
KW13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KW14,0,0,0,0,0,3,2,0,0,0,1,11,0,0,0,0,0,0,0,0,0
KW15,0,0,0,1,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
KW16,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
KW17,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
KW2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KW3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KW5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KW6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KW7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KW8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
KW9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
KY1,2,1,0,4,0,2,4,2,1,0,3,44,0,0,0,0,0,3,3,0,0
KY10,0,0,0,1,0,0,1,1,0,0,0,8,0,0,0,0,0,0,0,0,0
KY11,2,1,3,10,0,8,12,2,1,1,1,92,0,0,0,2,1,4,0,4,0
KY12,5,0,3,4,0,1,5,1,2,0,2,64,0,0,0,0,0,1,1,6,0
KY13,0,0,1,1,0,0,1,0,0,0,0,22,0,0,0,0,0,2,0,2,0
KY14,0,0,0,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0
KY15,0,2,0,2,1,4,4,3,0,0,3,33,0,0,1,0,0,2,3,1,0
KY16,0,0,1,1,0,1,0,2,0,0,1,29,0,0,0,0,1,1,0,1,0
KY2,2,0,3,4,0,3,8,3,0,0,0,42,0,0,0,0,0,2,2,1,0
KY3,0,1,2,1,0,1,1,1,1,0,0,13,0,0,0,0,0,1,0,0,0
KY4,2,0,1,2,0,1,2,1,2,0,3,21,0,0,0,0,0,1,0,1,0
KY5,0,0,0,1,1,1,6,1,0,0,1,29,0,0,0,0,0,3,0,2,0
KY6,0,0,1,0,0,1,3,0,1,0,0,26,0,0,0,1,0,1,0,1,0
KY7,3,0,1,4,0,3,3,2,0,0,3,39,0,0,0,0,0,0,0,2,0
KY8,3,3,4,8,0,8,5,6,3,0,4,86,0,1,1,0,1,3,3,2,0
KY9,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
L1,4,3,5,62,1,61,8,11,4,0,2,106,0,0,2,1,1,3,8,6,0
L10,3,0,0,22,0,18,2,6,2,1,4,14,0,0,0,0,0,3,1,2,1
L11,2,1,3,24,0,26,4,3,1,1,1,20,0,0,0,1,0,0,2,2,1
L12,1,1,3,23,1,29,4,4,1,1,4,36,0,1,1,1,0,3,3,3,1
L13,2,1,3,29,1,31,4,4,2,1,2,34,1,0,0,1,1,1,2,4,1
L14,1,1,0,21,0,19,1,2,1,0,7,29,0,0,1,0,0,3,2,7,0
L15,21,11,16,145,1,165,39,36,11,4,27,299,2,6,6,9,4,34,31,37,5
L16,2,0,1,11,0,10,4,0,1,1,1,25,0,0,0,0,0,2,0,2,0
L17,1,0,3,18,0,18,4,1,1,1,2,27,0,0,1,0,0,0,3,1,0
L18,1,1,3,22,0,23,3,6,0,0,5,29,0,0,1,1,0,2,0,1,0
L19,1,0,4,23,0,29,6,4,2,0,1,24,0,1,0,0,0,1,0,2,0
L2,1,0,2,22,1,15,2,1,0,0,0,34,0,0,0,1,0,0,0,1,0
L20,3,3,4,35,0,28,14,8,1,1,9,41,0,1,0,0,2,2,2,11,1
L21,0,0,0,22,1,16,3,3,0,0,2,31,0,0,0,0,0,2,1,1,0
L22,1,0,3,14,0,7,1,1,0,0,0,15,0,0,0,0,0,0,1,1,0
L23,1,0,0,14,0,9,4,1,1,0,4,27,0,0,0,0,0,0,0,2,2
L24,5,2,3,22,0,20,5,2,1,0,3,26,0,1,2,0,0,1,2,2,1
L25,0,0,3,27,1,19,5,5,1,0,2,31,0,0,1,0,0,0,1,2,0
L26,0,0,0,20,0,14,0,2,0,1,3,15,0,0,1,1,0,0,3,1,0
L27,1,1,0,3,0,6,1,0,0,0,1,7,0,0,0,0,0,1,0,1,0
L28,0,1,0,4,0,7,0,0,0,0,1,8,0,0,0,1,0,0,0,1,0
L29,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L3,5,4,6,46,0,43,16,7,2,1,6,88,0,1,2,1,0,7,7,8,0
L30,1,1,2,16,0,24,3,1,0,0,3,20,0,0,0,0,0,0,2,4,0
L31,0,0,0,32,0,18,3,3,2,0,4,46,0,0,2,0,0,0,4,4,0
L32,0,0,0,19,0,13,1,1,0,0,2,25,0,0,0,0,0,2,0,1,0
L33,0,0,0,11,0,22,1,1,0,1,1,27,0,0,0,1,0,1,1,2,0
L34,1,2,1,12,0,16,4,5,0,0,2,21,0,0,1,0,0,3,3,3,0
L35,3,1,3,15,0,20,5,3,0,0,4,29,0,0,2,0,0,4,0,3,1
L36,0,1,1,35,0,45,11,5,2,1,7,49,0,0,0,0,0,3,3,3,1
L37,1,1,2,15,0,14,6,3,1,2,1,26,0,0,1,1,0,1,1,2,0
L38,0,0,0,2,0,2,2,0,0,0,1,2,0,0,0,0,0,0,0,1,0
L39,0,0,1,16,0,13,7,1,1,0,3,59,0,0,1,1,0,3,1,2,3
L4,21,14,9,155,1,180,20,16,2,13,7,54,1,1,2,3,8,4,7,8,11
L40,3,0,1,8,0,9,5,4,0,0,0,25,0,0,0,0,0,1,1,1,2
L5,0,1,1,25,0,34,5,0,0,0,1,18,0,0,0,0,1,0,3,2,0
L6,1,1,1,28,0,21,3,4,1,0,1,21,0,0,1,0,0,1,4,4,1
L7,4,1,3,15,0,27,6,1,1,2,0,52,0,0,0,0,1,4,1,2,0
L8,2,0,2,8,0,16,1,4,1,0,3,28,0,0,0,0,1,2,1,2,0
L9,4,2,3,40,0,38,6,9,4,2,5,46,0,0,3,0,2,3,3,6,0
LA1,8,2,4,9,0,12,9,7,4,2,4,83,0,1,0,1,1,5,0,5,0
LA10,0,0,0,2,0,2,1,0,0,0,1,3,0,0,0,0,0,0,1,0,0
LA11,0,0,0,2,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0
LA12,0,0,2,3,0,5,5,3,1,0,0,23,0,0,0,0,0,1,1,1,0
LA13,1,0,2,5,0,5,4,5,2,0,0,24,0,0,0,0,0,0,3,2,0
LA14,4,0,2,15,0,19,9,11,2,0,1,77,0,1,0,1,0,5,4,7,1
LA15,0,1,0,2,0,3,1,4,1,0,0,13,0,0,0,2,0,1,1,0,0
LA16,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
LA17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LA18,0,0,0,1,0,0,1,0,0,0,0,6,0,1,0,0,0,1,0,1,0
LA19,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
LA2,3,3,3,5,0,5,2,3,1,0,2,37,0,0,0,1,0,2,0,2,0
LA20,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
LA21,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
LA22,0,0,1,0,0,1,2,2,1,1,0,14,0,0,0,0,0,0,0,1,0
LA23,1,0,0,1,0,2,2,1,2,0,1,14,0,0,0,0,0,1,0,1,0
LA3,1,3,1,3,1,3,1,5,1,2,2,32,0,0,0,2,0,1,1,2,1
LA4,2,1,1,3,0,2,2,5,0,0,0,28,0,0,0,0,0,1,1,2,0
LA5,0,0,0,0,0,2,2,1,0,0,1,7,0,0,1,0,0,1,0,0,0
LA6,0,0,0,2,0,0,1,2,1,0,1,5,0,0,0,1,0,1,0,0,0
LA7,1,0,1,1,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0
LA8,1,0,0,1,1,1,2,0,0,0,0,11,0,0,0,0,0,1,0,1,0
LA9,1,0,1,3,0,4,2,3,1,0,2,23,0,0,0,0,0,0,2,0,0
LD1,0,1,0,3,0,5,1,0,1,0,2,7,0,0,1,0,0,0,1,1,0
LD2,0,1,0,1,0,0,0,1,0,0,0,2,0,0,0,0,1,0,1,0,0
LD3,0,0,0,1,0,1,2,1,0,0,0,20,0,0,1,0,1,0,1,0,0
LD4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD6,1,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
LD7,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
LD8,0,0,0,0,0,1,1,2,0,0,0,3,0,0,1,0,0,1,0,0,0
LE1,6,1,7,16,0,14,15,16,3,2,5,163,0,1,1,0,1,10,5,10,1
LE10,2,1,5,3,0,3,7,5,0,1,2,53,0,0,0,0,0,1,2,4,0
LE11,7,3,11,10,0,12,16,17,1,0,8,111,0,2,1,0,0,3,4,6,0
LE12,4,2,4,15,0,7,8,8,2,0,9,83,0,4,0,0,0,4,4,6,0
LE13,1,1,1,5,0,3,4,2,1,0,2,26,1,1,0,1,0,0,2,1,0
LE14,1,1,1,6,0,3,4,5,1,0,2,37,1,2,0,1,0,0,2,1,0
LE15,2,0,0,1,0,4,5,6,1,1,2,31,0,0,0,0,0,1,1,2,0
LE16,1,1,1,1,0,1,3,1,1,0,0,32,0,0,0,0,0,0,1,1,0
LE17,1,0,3,1,0,2,7,2,0,0,4,30,0,1,0,1,0,2,2,4,0
LE18,3,1,1,3,1,3,9,5,3,0,2,34,0,0,1,0,0,1,2,2,0
LE19,3,4,2,2,0,6,6,10,1,1,1,43,0,0,0,2,0,0,1,3,1
LE2,15,4,5,15,0,20,20,18,1,6,6,112,0,1,0,0,1,11,7,8,0
LE3,12,2,6,19,0,14,20,17,3,2,8,119,0,2,5,1,1,11,6,11,0
LE4,8,3,6,11,1,13,12,14,3,1,3,77,1,0,0,2,0,4,2,6,0
LE5,8,2,5,6,1,9,11,11,0,0,3,59,0,0,0,0,0,5,2,4,1
LE6,3,0,1,3,0,0,6,2,0,0,3,10,0,0,0,1,0,2,1,3,0
LE65,1,2,1,1,0,0,3,1,0,1,2,17,0,0,0,0,1,0,3,1,0
LE67,5,2,3,6,0,5,12,7,2,0,4,54,0,2,0,1,0,3,4,2,0
LE7,7,2,0,9,0,5,15,9,1,0,4,47,0,0,0,0,0,3,3,7,0
LE8,0,0,5,7,0,5,5,4,2,0,0,34,0,0,1,0,0,1,1,1,0
LE9,3,0,3,6,0,6,7,3,1,0,2,55,0,1,0,0,0,4,2,0,0
LL11,2,1,2,10,0,10,7,6,0,0,8,49,0,0,0,0,0,1,4,6,0
LL12,1,2,0,4,0,7,1,2,0,1,6,20,0,0,0,0,0,0,0,0,1
LL13,7,0,2,15,1,12,10,10,1,2,5,53,0,0,0,0,1,3,1,11,0
LL14,3,3,1,11,0,9,13,6,0,0,1,49,0,0,0,0,0,6,4,6,0
LL15,0,1,1,1,0,2,2,2,0,1,0,13,0,0,0,0,0,1,1,0,0
LL16,0,0,0,5,0,6,4,0,0,1,0,17,0,1,0,0,0,1,1,1,0
LL17,0,0,1,1,0,1,1,1,0,0,0,6,0,0,0,0,0,0,0,0,0
LL18,6,4,4,23,3,16,12,13,1,1,2,68,0,0,3,2,0,1,5,5,0
LL19,2,0,2,6,0,12,3,5,1,0,1,35,0,0,1,2,1,2,3,6,0
LL20,1,0,0,2,0,4,2,2,0,0,1,6,0,0,0,0,0,0,2,2,0
LL21,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
LL22,1,0,3,8,1,6,2,6,1,0,0,16,0,0,0,1,0,0,1,2,0
LL23,0,0,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
LL24,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
LL25,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
LL26,0,0,0,2,0,0,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0
LL27,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
LL28,0,0,3,1,0,5,0,0,0,0,2,11,0,0,0,0,0,2,1,0,0
LL29,0,0,0,4,1,4,0,1,1,0,0,18,0,0,1,1,0,0,1,2,0
LL30,1,3,0,8,0,11,2,6,1,0,1,26,1,0,0,0,0,1,2,2,0
LL31,0,0,0,5,0,4,0,1,0,0,0,6,0,1,0,0,0,0,0,0,0
LL32,0,0,0,3,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,1,0
LL33,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
LL34,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
LL35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LL36,1,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
LL37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LL38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LL39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LL40,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0
LL41,0,0,0,0,0,2,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
LL42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LL43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LL44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LL45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LL46,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LL47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LL48,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
LL49,0,1,1,4,0,0,2,3,0,0,0,1,0,0,1,0,0,0,0,0,0
LL51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LL52,2,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
LL53,0,0,0,1,0,1,0,2,0,0,0,7,0,0,0,1,1,0,1,1,0
LL54,0,0,0,1,0,2,1,1,0,0,0,8,0,0,1,0,0,1,0,0,0
LL55,1,0,0,4,0,3,1,4,0,0,0,7,0,0,1,0,1,0,0,1,0
LL56,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
LL57,2,0,2,6,0,7,2,5,2,0,1,43,1,0,0,1,0,1,1,2,0
LL58,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
LL59,0,0,1,0,0,1,1,1,0,0,0,5,0,0,0,0,0,0,0,1,0
LL60,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
LL61,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0
LL62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LL63,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
LL64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LL65,2,0,1,5,0,11,2,4,0,0,1,12,0,0,0,1,0,1,0,2,0
LL66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LL67,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
LL68,0,1,0,0,0,1,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0
LL69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LL70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LL71,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
LL72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LL73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LL74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LL75,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
LL76,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LL77,0,0,0,4,0,4,2,3,2,0,0,8,0,0,0,0,0,0,0,0,0
LL78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LN1,1,1,5,3,0,7,6,7,0,2,4,61,0,0,2,1,1,2,3,7,0
LN10,0,0,1,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,2,0
LN11,1,0,0,1,0,4,5,2,0,1,1,23,0,0,0,0,0,2,0,1,0
LN12,1,0,1,0,0,2,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0
LN13,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,1,0,0,0,0
LN2,7,3,1,8,0,6,8,7,3,0,1,32,0,0,0,0,0,3,2,9,0
LN3,0,0,1,1,0,1,2,3,0,0,1,7,0,0,0,0,0,0,0,0,0
LN4,2,1,1,3,0,2,3,4,1,1,1,22,0,0,0,0,0,2,0,4,1
LN5,6,0,2,7,0,5,6,8,4,2,1,44,0,0,1,1,1,2,2,6,0
LN6,6,3,9,14,2,13,15,15,5,0,5,97,0,0,2,2,0,14,7,11,0
LN7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
LN8,1,0,0,2,0,0,2,0,0,1,2,7,0,0,0,0,0,1,0,0,0
LN9,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0
LS1,4,3,2,7,0,10,8,5,3,0,3,87,0,1,1,2,1,5,1,4,1
LS10,4,0,3,8,1,4,7,1,1,0,3,46,0,0,0,1,0,4,4,3,1
LS11,1,1,5,20,1,7,5,5,1,1,0,44,0,2,0,1,0,3,0,3,0
LS12,7,0,2,17,1,2,7,7,5,1,0,46,0,0,1,2,0,4,2,7,0
LS13,3,1,4,5,0,3,5,4,1,1,2,39,0,2,0,1,0,1,1,2,0
LS14,4,0,1,5,0,4,6,4,0,0,1,35,0,0,1,0,0,2,0,2,0
LS15,3,0,1,7,0,1,7,2,2,2,1,37,1,0,0,1,0,0,0,4,0
LS16,1,1,2,4,0,5,4,3,2,1,2,21,0,0,0,0,0,0,0,1,0
LS17,5,0,3,2,0,3,5,5,0,0,1,29,0,1,0,0,0,0,0,2,0
LS18,2,0,1,2,0,0,2,0,1,0,0,20,0,0,0,0,0,0,0,2,0
LS19,1,1,1,2,0,2,3,3,1,1,0,11,0,1,0,0,1,0,0,0,0
LS2,1,0,2,6,2,7,3,4,1,1,1,64,0,1,0,0,0,2,1,2,1
LS20,0,0,3,0,0,1,2,2,0,0,1,17,0,0,0,0,0,1,1,1,0
LS21,0,0,0,0,0,1,0,1,0,1,0,10,0,0,0,0,0,0,0,0,0
LS22,1,0,1,2,0,1,3,3,2,0,0,12,0,0,0,0,0,2,0,0,1
LS23,1,1,0,1,0,2,3,0,0,1,1,9,0,0,0,0,0,0,1,1,0
LS24,0,0,2,1,0,1,0,1,0,0,0,5,0,0,0,0,0,1,1,1,0
LS25,2,1,4,6,0,4,6,4,2,1,1,33,0,0,0,2,0,3,1,3,2
LS26,3,3,4,4,0,2,7,5,0,0,0,39,0,0,0,0,0,2,0,3,0
LS27,3,0,2,12,2,7,8,8,2,1,2,37,0,0,0,0,0,0,3,3,1
LS28,0,1,3,6,0,5,6,5,1,0,1,34,0,0,0,0,0,1,2,0,0
LS29,1,0,1,3,0,4,0,3,1,0,0,23,0,0,0,1,0,2,1,0,0
LS3,0,0,1,2,0,4,1,4,1,0,1,26,0,0,0,1,0,0,0,1,1
LS4,1,1,4,2,0,1,3,0,1,0,0,19,0,0,0,0,0,0,1,0,0
LS5,0,0,1,2,1,1,1,3,2,0,1,18,0,0,0,0,0,0,2,1,1
LS6,12,2,6,9,1,10,18,15,8,0,4,139,1,1,1,1,0,9,5,10,1
LS7,5,1,2,9,0,7,7,6,1,3,4,69,0,1,1,0,0,9,4,6,1
LS8,11,6,15,27,1,10,22,37,7,3,9,180,1,1,2,1,3,8,5,9,0
LS9,4,2,4,8,0,3,6,7,0,1,0,20,0,0,0,0,0,3,0,3,0
LU1,7,2,6,5,1,6,8,8,0,1,3,64,0,1,1,0,0,8,3,3,1
LU2,10,2,7,4,2,7,9,5,1,3,1,59,0,2,2,0,1,8,3,7,0
LU3,7,2,5,11,1,9,10,8,0,0,5,69,0,0,0,0,0,7,2,10,0
LU4,3,1,2,5,1,7,3,4,1,0,2,28,0,0,1,1,0,3,4,4,0
LU5,4,1,3,6,0,2,2,0,1,0,4,31,0,0,0,0,0,6,1,4,0
LU6,3,1,2,4,0,3,2,4,0,0,1,23,0,0,0,0,0,4,2,5,0
LU7,7,2,5,4,0,6,10,10,4,1,2,54,0,3,0,0,1,11,1,4,0
M1,6,7,5,17,1,17,44,42,3,0,3,138,0,0,0,1,0,7,5,11,2
M11,14,83,2,42,0,6,103,21,0,0,3,39,1,1,1,2,37,41,1,2,1
M12,2,0,0,1,0,4,12,9,0,0,4,18,0,1,0,0,1,0,0,3,0
M13,5,2,4,5,0,2,7,13,1,0,1,48,0,0,0,1,0,2,1,2,0
M14,31,31,28,78,10,55,132,156,13,3,30,497,1,4,7,12,4,41,20,38,12
M15,5,2,3,9,0,6,14,12,0,1,2,90,0,1,0,0,0,2,3,4,2
M16,38,0,2,5,4,9,10,174,5,1,4,43,0,1,0,4,0,29,1,14,23
M17,0,0,2,1,0,2,7,32,0,0,2,21,0,0,0,1,0,2,0,5,1
M18,0,0,0,2,0,1,12,5,1,0,3,26,0,0,0,0,0,1,5,2,0
M19,5,0,3,5,0,6,10,13,2,0,1,24,0,0,0,0,0,1,3,3,0
M2,0,1,1,2,0,1,6,12,0,0,1,34,0,0,0,0,0,2,2,2,0
M20,5,4,4,19,0,13,16,26,2,4,2,53,0,0,3,0,0,5,3,10,1
M21,1,0,0,4,0,2,10,16,0,0,0,26,1,0,0,1,1,3,2,2,0
M22,0,1,2,5,0,4,17,16,1,0,0,41,0,0,1,1,0,0,2,5,0
M23,3,0,2,7,1,7,21,23,1,0,1,37,0,0,0,0,0,1,1,3,0
M24,1,2,3,7,0,8,19,28,1,2,1,52,0,0,2,0,0,3,1,1,0
M25,4,0,5,11,0,11,13,24,1,0,2,47,0,0,0,1,1,2,3,9,3
M26,1,1,5,7,1,5,16,16,3,1,1,49,0,1,1,0,0,2,0,6,2
M27,4,0,1,7,0,8,17,23,1,0,1,58,0,1,0,1,1,1,1,5,0
M28,3,1,2,10,0,11,13,20,1,1,2,41,0,0,0,1,0,2,0,6,0
M29,0,0,0,3,0,1,1,7,0,0,1,26,0,0,0,0,0,0,0,0,4
M3,4,2,5,13,0,7,25,24,2,1,2,89,0,0,0,1,0,3,2,8,0
M30,7,1,9,14,1,11,27,34,3,2,3,53,0,1,0,0,1,5,4,14,1
M31,0,0,0,1,0,0,4,9,0,0,0,12,0,0,0,0,0,2,1,0,0
M32,3,2,0,7,1,11,14,25,0,0,2,33,0,0,0,0,0,2,2,4,1
M33,2,1,3,13,1,10,21,38,2,1,5,51,0,0,1,0,2,4,4,9,0
M34,1,0,1,2,0,4,18,20,0,1,4,53,0,0,0,0,1,4,2,4,0
M35,3,1,3,2,1,1,9,14,1,1,2,18,0,0,0,0,0,0,1,1,0
M38,2,1,2,1,0,5,3,5,1,0,0,10,0,0,0,1,0,0,0,1,0
M4,2,0,2,9,1,11,20,26,2,2,2,77,0,0,1,1,0,1,1,6,0
M40,3,5,4,10,1,10,31,28,0,1,2,61,0,0,0,0,1,7,2,6,0
M41,0,1,3,12,0,8,26,28,1,0,2,43,0,0,0,0,0,2,2,7,0
